대학명,모집단위,유형,전형명,기준,컷70,연도,모집인원27,경쟁률26
가톨릭관동대,의학과(의예과),교과,학생부교과(지역인재전형),70%컷(최종),1.24,2026,6,19.71
가톨릭관동대,임상병리학과,교과,학생부교과(지역인재전형),70%컷(최종),3.66,2026,10,6
가톨릭관동대,작업치료학과,교과,학생부교과(지역인재전형),70%컷(최종),4.45,2026,8,2.63
가톨릭관동대,치위생학과,교과,학생부교과(지역인재전형),70%컷(최종),3.84,2026,10,6
가톨릭관동대,컴퓨터교육과,교과,학생부교과(지역인재전형),70%컷(최종),3.31,2026,4,2.6
가톨릭관동대,항공운항전공,교과,학생부교과(지역인재전형),70%컷(최종),2.63,2026,5,1.4
가톨릭관동대,항공정비학전공,교과,학생부교과(지역인재전형),70%컷(최종),4.08,2026,5,2.6
가톨릭관동대,CG디자인전공,교과,학생부교과(지역인재전형),70%컷(최종),3.13,2026,5,3.6
가톨릭관동대,실용음악전공,교과,학생부교과(지역인재전형),70%컷(최종),4.23,2026,5,1
가톨릭관동대,[유형1] 자율전공학부,교과,학생부교과(지역인재전형),70%컷(최종),5.18,2026,50,1.83
가톨릭관동대,국어교육과,종합,학생부종합(지역인재전형),70%컷(최종),3.2,2026,2,2
가톨릭관동대,역사교육과,종합,학생부종합(지역인재전형),70%컷(최종),3.53,2026,2,2
가톨릭관동대,지리교육과,종합,학생부종합(지역인재전형),70%컷(최종),2.3,2026,2,2.5
가톨릭관동대,간호학과,종합,학생부종합(지역인재전형),70%컷(최종),3.37,2026,7,7.71
가톨릭관동대,의학과(의예과),종합,학생부종합(지역인재전형),70%컷(최종),1.52,2026,2,26
가톨릭관동대,임상병리학과,종합,학생부종합(지역인재전형),70%컷(최종),3.07,2026,2,5
가톨릭관동대,컴퓨터교육과,종합,학생부종합(지역인재전형),70%컷(최종),4.5,2026,2,2
가톨릭관동대,항공정비학전공,종합,학생부종합(지역인재전형),70%컷(최종),6.35,2026,5,1.2
가톨릭꽃동네대,간호학과,교과,학생부교과(가톨릭지도자추천전형),70%컷(최종),5.33,2026,13,4.9
가톨릭꽃동네대,[유형1] 자율전공학부,교과,학생부교과(가톨릭지도자추천전형),환산70%컷(최종),200.45,2025,3,1.67
가톨릭꽃동네대,간호학과,교과,학생부교과(일반학생전형),70%컷(최종),3.67,2026,15,7.87
가톨릭꽃동네대,[유형1] 자율전공학부,교과,학생부교과(일반학생전형),70%컷(최종),5.5,2026,18,1.5
가톨릭꽃동네대,간호학과,교과,학생부교과(휴먼리더면접전형),70%컷(최종),4.89,2026,10,7.54
가톨릭꽃동네대,간호학과,교과,학생부교과(지역인재전형),70%컷(최종),4.11,2026,18,5.28
가톨릭대(성신),신학과,종합,학생부종합(잠재능력우수자면접전형),70%컷(최종),5.81,2026,32,1.4
가톨릭대(성심),경영학과,논술,논술(논술전형),최저(최종),4.56,2025,5,49.2
가톨릭대(성심),경제학과,논술,논술(논술전형),최저(최종),4.16,2025,4,38
가톨릭대(성심),국사학과,논술,논술(논술전형),최저(최종),4.00,2025,3,33.33
가톨릭대(성심),국어국문학과,논술,논술(논술전형),최저(최종),5.59,2025,4,37.75
가톨릭대(성심),국제학부,논술,논술(논술전형),최저(최종),5.85,2025,5,42.2
가톨릭대(성심),법학과,논술,논술(논술전형),최저(최종),5.14,2025,4,42.75
가톨릭대(성심),사회복지학과,논술,논술(논술전형),최저(최종),5.25,2025,4,37
가톨릭대(성심),사회학과,논술,논술(논술전형),최저(최종),3.94,2025,4,39
가톨릭대(성심),심리학과,논술,논술(논술전형),최저(최종),4.94,2025,5,48.2
가톨릭대(성심),아동학과,논술,논술(논술전형),최저(최종),4.43,2025,4,41.75
가톨릭대(성심),영어영문학부,논술,논술(논술전형),최저(최종),5.79,2025,5,38.2
가톨릭대(성심),일어일본문화학과,논술,논술(논술전형),최저(최종),5.11,2025,4,40
가톨릭대(성심),중국언어문화학과,논술,논술(논술전형),최저(최종),4.00,2025,4,35.5
가톨릭대(성심),철학과,논술,논술(논술전형),최저(최종),3.84,2025,4,39.75
가톨릭대(성심),행정학과,논술,논술(논술전형),최저(최종),5.63,2025,4,46.75
가톨릭대(성심),회계학과,논술,논술(논술전형),최저(최종),5.60,2025,5,43.2
가톨릭대(성심),공간디자인·소비자학과,논술,논술(논술전형),최저(최종),4.15,2025,4,17
가톨릭대(성심),데이터사이언스학과,논술,논술(논술전형),최저(최종),3.71,2025,5,12.8
가톨릭대(성심),물리학과,논술,논술(논술전형),최저(최종),3.65,2025,3,10
